plot_id,c_total_Mg_ha,c_live_Mg_ha,c_dead_Mg_ha,c_woody_Mg_ha,c_nonwoody_Mg_ha,c_standing_Mg_ha,c_standing_Mg_ha_live,c_standing_Mg_ha_dead,c_stump_Mg_ha,c_stemwood_Mg_ha,c_stemwood_Mg_ha_live,c_stemwood_Mg_ha_dead,c_stembark_Mg_ha,c_stembark_Mg_ha_live,c_stembark_Mg_ha_dead,c_dwd_Mg_ha,c_understory_Mg_ha,c_charred_Mg_ha
bigh001,209.727,167.076,42.651,203.358,6.369,178.124,166.777,9.963,1.376,127.176,118.871,8.306,30.954,28.158,2.795,28.569,3.041,0
bigh002,334.724,278.059,56.665,325.1,9.624,308.096,282.217,24.299,1.572,221.251,201.845,19.407,54.524,48.472,6.052,25.974,0.663,0.00178
bigh003,273.733,236.973,36.761,265.766,7.968,255.023,240.368,13.14,1.41,182.804,171.834,10.97,43.893,40.691,3.203,18.392,0.423,1.16e-4
bigh004,302.371,268.946,33.425,294.06,8.311,289.268,272.966,16.296,0,209.666,197.645,12.02,49.319,45.904,3.414,12.976,0.132,0.21
bigh005,63.448,0.224,63.224,63.432,0.016,43.509,0,43.489,0.02,33.51,0,33.51,4.645,0,4.645,19.715,0.224,0.52
bigh006,182.894,0.432,182.462,182.795,0.099,176.334,0,176.327,0.004,131.697,0,131.697,32.72,0,32.72,6.131,0.432,0.153
bigh007,231.33,200.149,31.182,225.11,6.221,219.441,203.255,7.987,8.194,160.211,146.421,13.791,37.251,35.073,2.178,11.754,0.141,0.322
bigh008,191.937,162.992,28.944,185.932,6.005,183.01,165.661,17.347,0.001,130.888,118.404,12.484,30.671,27.803,2.868,8.705,0.222,0.136
bigh009,144.582,0.153,144.429,144.561,0.022,123.036,0,121.089,1.948,91.689,0,91.689,13.006,0,13.006,21.393,0.153,0.495
bigh010,202.281,0.213,202.068,202.241,0.04,192.917,0,192.916,0.001,143.698,0,143.698,33.785,0,33.785,9.151,0.213,0.281
bigh011,352.159,277.396,74.763,325.608,26.551,309.364,290.115,18.214,0.217,190.313,174.923,15.39,28.113,25.994,2.12,42.177,1.437,0
bigh012,293.127,166.199,126.928,279.494,13.632,261.755,168.311,93.426,0.017,178.094,107.95,70.143,24.724,14.297,10.427,31.187,0.186,0.546
bigh013,271.672,229.857,41.814,250.318,21.353,251.781,237.086,13.862,0.022,161.017,148.667,12.35,24.435,24.017,0.418,18.559,2.143,0
