plot_id,site,fire_year,sample_date,slope_deg,aspect_deg,elevation_m,stand_age,burn_sev,tape_length_m,tree_radius_m,sapl_radius_m,n_slope_deg,e_slope_deg,s_slope_deg,w_slope_deg,lrg_tree_mult_ha,tree_mult_ha,sapl_mult_ha,est_seed_mult_ha,sml_seed_mult_ha,shrub_mult_ha,herb_mult_ha
eagl011,eagl,2017,20210901,22.1,277,418,old,severe,56.5,12,5,2.2,29.8,0.6,22.9,1,5.5262133018019215,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
eagl014,eagl,2017,20220816,30.8,188,529,mature,severe,56.5,14,5,30.9,4.9,30.6,9.8,1,4.060075078874881,31.830988618379067,21.65373375399937,265.25823848649225,198.9436788648692,66.31455962162306
eagl015,eagl,2017,20220819,35.6,3,554,old,severe,56.5,16,5,34.4,4.1,34.8,7.7,1,3.108494982263581,31.830988618379067,21.65373375399937,265.25823848649225,198.9436788648692,66.31455962162306
nor001,nor,2017,20190725,29.1,42,1175,old,low,56.5,14,5,23.2,14,27.5,21.4,1,4.060075078874881,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor002,nor,2017,20190729,24,270,1203,mature,low,56.5,12,5,1.6,28.3,1.5,23,1,5.5262133018019215,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor003,nor,2017,20190730,32.1,166,1223,old,severe,56.5,11,5,31.9,10.2,28.7,13,1,6.57665054098741,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor004,nor,2017,20190731,18,270,1242,old,low,56.5,10,5,4.1,19.4,2.5,17.3,1,7.957747154594767,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor005,nor,2017,20190731,22,163,1275,mature,severe,56.5,11,5,19.3,7.1,22.6,9,1,6.57665054098741,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor006,nor,2017,20190801,14.9,62,1324,old,severe,56.5,10,5,16.5,21,11.9,15.8,1,7.957747154594767,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor007,nor,2017,20190801,34,127,1402,mature,severe,56.5,10,5,34,29,14,35,1,7.957747154594767,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor008,nor,2017,20190805,25.4,278,1392,old,low,56.5,12,5,8,27.2,2.8,25.3,1,5.5262133018019215,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor009,nor,2017,20190806,31.2,312,1481,old,low,56.5,14,5,8.3,28.4,24.2,23.1,1,4.060075078874881,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor011,nor,2017,20190807,29.6,250,1214,old,low,56.5,9,5,13.6,26.2,10.2,26.1,1,9.824379203203415,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor012,nor,2017,20190807,30.1,317,1109,mature,low,56.5,10,5,20,27.3,22.7,26.1,1,7.957747154594767,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor013,nor,2017,20190808,31.5,129,1141,old,low,56.5,10,5,11.4,27.2,15.4,30.8,1,7.957747154594767,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
nor014,nor,2017,20190812,12.1,221,1539,old,severe,56.5,11,5,16.7,11.1,13.5,1,1,6.57665054098741,31.830988618379067,21.65373375399937,265.25823848649225,66.31455962162306,66.31455962162306
