plot_id,species,group,live_dbh_min_cm,dead_dbh_min_cm,live_dbh_max_cm,dead_dbh_max_cm,live_basalarea_m2_ha,dead_basalarea_m2_ha,live_stems_ha,dead_stems_ha
bigh001,acma,b,NA,13.9,NA,31.1,0,0.599,0,13
bigh001,alru,b,NA,28.6,NA,28.6,0,0.422,0,7
bigh001,conu,b,9.9,NA,9.9,NA,0.245,0,32,0
bigh001,prem,b,NA,12.5,NA,12.5,0,0.081,0,7
bigh001,psme,i,16.2,11.5,57.4,119,38.021,7.198,309,172
bigh001,tshe,t,1.1,21.2,38.4,21.2,1.899,0.232,256,7
bigh002,acma,b,14.5,NA,25.6,NA,1.813,0,50,0
bigh002,psme,i,15.8,12.5,55.2,118.4,67.576,20.877,634,200
bigh002,tshe,t,0.3,NA,10,NA,0.403,0,203,0
bigh003,abgr,t,14,NA,14,NA,0.151,0,10,0
bigh003,acma,b,18.7,14.7,33.2,29.7,2.957,1.084,59,29
bigh003,poba,b,33.9,NA,38,NA,2.001,0,20,0
bigh003,psme,i,25.3,10.5,60.4,28.4,53.561,5.817,383,167
bigh003,tshe,t,0.1,NA,2.9,NA,0.035,0,286,0
bigh004,acma,b,24.9,NA,38.2,NA,1.3,0,16,0
bigh004,alru,b,NA,26.6,NA,34.2,0,1.173,0,16
bigh004,poba,b,25.5,NA,25.5,NA,0.406,0,8,0
bigh004,prem,b,29.2,13.7,29.2,20.8,0.533,0.388,8,16
bigh004,psme,i,20.5,10.7,73.5,38.2,60.816,5.935,358,119
bigh005,abgr,t,NA,5.6,NA,57.2,0,7.778,0,239
bigh005,acgl,b,NA,9,NA,11.9,0,0.264,0,37
bigh005,pimo,i,NA,108.7,NA,108.7,0,0.928,0,1
bigh005,psme,i,NA,8.9,NA,106.7,0,7.173,0,154
bigh005,tshe,t,NA,6.3,NA,36.4,0,4.515,0,174
bigh006,abgr,t,NA,11.9,NA,16.6,0,0.564,0,32
bigh006,abpr,i,NA,23.2,NA,34.3,0,1.072,0,16
bigh006,acma,b,NA,9,NA,29.6,0,1.94,0,72
bigh006,prem,b,NA,17.3,NA,35.1,0,0.957,0,16
bigh006,psme,i,NA,11,NA,60.3,0,45.203,0,398
bigh006,tshe,t,NA,11.4,NA,55.9,0,3.893,0,40
bigh007,prem,b,NA,12.4,NA,17.3,0,0.661,0,39
bigh007,psme,i,23.2,20.2,62.8,36.3,48.049,3.525,293,61
bigh008,abgr,t,NA,16.2,NA,16.2,0,0.164,0,8
bigh008,psme,i,19.3,10.4,66.4,52,36.026,6.994,255,127
