plot_id,basalarea_m2_ha,basalarea_m2_ha_live,basalarea_m2_ha_dead,overstory_stems_ha,overstory_stems_ha_live,overstory_stems_ha_dead,understory_stems_ha,understory_stems_ha_live,understory_stems_ha_dead,seedling_stems_ha_live,qmd_cm,qmd_cm_live,qmd_cm_dead
bigh001,47.517,40.165,7.352,540,342,198,414,382,32,1106,33.2,38.3,21.7
bigh002,81.757,69.792,11.965,898,697,201,191,191,0,596,34,35.6,27.5
bigh003,65.605,58.704,6.901,670,472,198,542,542,0,2497,35.3,39.8,21.1
bigh004,70.796,63.055,7.741,558,390,168,96,0,96,3471,40.2,45.4,24.2
bigh005,21.463,0,21.463,395,0,395,382,0,382,502,25.5,NA,25.5
bigh006,53.95,0,53.95,558,0,558,128,0,128,573,35,NA,35
bigh007,52.5,48.049,4.451,410,293,117,0,0,0,3979,40.4,45.7,22
bigh008,48.571,38.223,10.348,479,279,200,96,0,96,2918,35.9,41.8,25.6
bigh009,57.754,0,57.754,626,0,626,1242,0,1242,4699,33.7,NA,33.7
bigh010,65.73,0,65.73,682,0,682,223,0,223,3885,34.8,NA,34.8
bigh011,79.183,59.672,19.51,364,302,62,9373,9019,354,6633,51.9,49.2,63.3
bigh012,91.488,36.268,55.219,612,162,450,606,96,510,3714,43.2,53.2,38.9
bigh013,80.982,63.199,17.783,768,698,70,10700,9992,708,2827,35.9,33.1,56.7
bigh014,42.866,37.483,5.383,699,619,80,2579,2451,128,1641,27.8,27.6,29.2
bigh015,23.118,0,23.118,659,0,659,446,0,446,260,21.1,NA,21.1
bigh016,20.503,0,20.503,757,0,757,669,0,669,95,18.3,NA,18.3
bigh017,66.639,0,66.639,737,0,737,191,0,191,3420,33.8,NA,33.8
bigh018,60.661,1.225,59.436,215,1,214,319,0,319,4328,59.9,124.9,59.4
bigh019,80.023,0,80.023,873,0,873,32,0,32,720,34.1,NA,34.1
bigh020,70.777,0,70.777,462,0,462,860,0,860,956,43.8,NA,43.8
bigh021,71.672,0,71.672,680,0,680,319,0,319,166,36.6,NA,36.6
bigh022,58.553,0,58.553,611,0,611,160,0,160,479,34.8,NA,34.8
bigh023,57.22,44.868,12.352,983,734,249,2866,542,2324,5931,26.5,27.6,22.9
bigh024,66.602,43.481,23.121,600,295,305,987,32,955,19477,37.3,43.3,30.3
bigh025,82.371,63.618,18.753,1432,784,648,1369,764,605,14666,26.9,32.1,19
bigh026,47.916,40.003,7.913,523,386,137,447,351,96,3579,33.8,36.1,26.6
eagl011,52.763,0,52.763,332,0,332,128,0,128,22,44.9,NA,44.9
eagl014,83.072,0,83.072,419,0,419,64,0,64,22,50.3,NA,50.3
