plot_id,dwd_Mg_ha,fwd_Mg_ha,one_hour_Mg_ha,ten_hour_Mg_ha,hundred_hour_Mg_ha,cwd_Mg_ha,cwd_Mg_ha_sound,cwd_Mg_ha_rotten,deadfuel_depth_cm,duff_depth_cm,litter_depth_cm,live_surface_Mg_ha,herbs_Mg_ha,shrubs_Mg_ha,conifer_seedlings_Mg_ha,broadleaf_seedlings_Mg_ha
bigh001,56.095,18.452,4.163,6.409,7.88,37.643,14.306,23.337,35.4,3.3,3.4,6.46,0.55,5.9,0.0113,0.0036
bigh002,50.605,16.471,4.699,6.816,4.955,34.134,13.581,20.553,28,3.6,3.2,1.423,0.226,1.18,7.44e-5,0.0164
bigh003,36.365,16.393,3.376,6.24,6.777,19.972,8.735,11.237,12.5,2,3.1,0.921,0.38,0.324,0.0109,0.206
bigh004,26.436,16.516,2.585,4.614,9.318,9.92,5.704,4.216,34.3,0.8,1.6,0.288,0.135,0.146,0.00104,0.00563
bigh005,38.607,15.117,2.724,4.102,8.29,23.49,6.28,17.21,6.6,0.2,0.6,0.478,0.037,0.441,1.34e-5,4.84e-4
bigh006,12.276,3.631,0.677,1.576,1.378,8.645,7.321,1.323,8.3,0,0.3,0.933,0.229,0.698,4.69e-5,0.0058
bigh007,24.27,17.689,6.288,4.546,6.854,6.581,4.243,2.338,47.1,1.3,1.3,0.309,0.121,0.178,3.7e-4,0.00993
bigh008,17.529,9.732,2.67,2.881,4.18,7.797,4.122,3.675,29.3,1.7,1.3,0.471,0.227,0.243,1.87e-4,5.14e-4
bigh009,41.868,10.285,1.415,4.497,4.372,31.584,18.344,13.24,11.5,0.3,1,0.329,0.051,0.278,3.75e-4,0
bigh010,17.721,4.792,1.276,1.059,2.458,12.929,3.803,9.126,7.6,1.1,1.4,0.456,0.09,0.366,6.44e-4,0
bigh011,84.731,15.694,3.55,4.411,7.733,69.037,48.879,20.158,36.8,8.1,3.5,2.872,0.06,1.25,1.56,0
bigh012,60.298,12.823,4.881,3.772,4.17,47.474,14.685,32.79,30,3.5,2.5,0.416,0.26,0.155,0.00203,0
bigh013,37.178,9.896,3.105,3.4,3.39,27.282,14.79,12.493,10.2,8.7,2.3,4.527,2.003,0.983,1.54,0
bigh014,19.584,13.482,5.155,3.95,4.376,6.103,4.9,1.203,18.2,2.6,2.8,3.168,1.46,1.5,0.213,0
bigh015,20.489,5.642,1.178,1.578,2.886,14.847,4.337,10.51,4.8,0.2,0.9,1.063,0.894,0.169,6.14e-5,0
bigh016,11.311,8.028,0.77,2.556,4.702,3.282,0.166,3.117,3.4,0.2,0.8,0.729,0.467,0.262,8.96e-6,0
bigh017,15.128,7.284,1.705,1.514,4.064,7.844,1.459,6.385,5.9,0.3,1.5,0.724,0.19,0.529,8.38e-4,0.00456
bigh018,42.789,14.258,2.809,5.505,5.943,28.531,5.409,23.123,19.8,3,1.5,0.904,0.251,0.651,5.93e-4,0.00199
